ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,OPMTN_PLACE_NM,FSTVL_BEGIN_DE,FSTVL_END_DE,FSTVL_CN,MNNST_NM,AUSPC_INSTT_NM,SUPRT_INSTT_NM,TEL_NO,HMPG_ADDR,RELATE_INFO_CN,데이터기준일자,PROVD_INSTT_CD,PROVD_INSTT_NM,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KC488PO22N000013,행사,행사,울산쇠부리축제,울산광역시,북구,3120010900,달천동,3120053000,농소3동,3.12E+11,울산광역시 북구 달천철장길 58,44205,마마656391,129.3289893,35.63424081,달천철장 일원,2022-05-13,2022-05-15,한반도 최초의 철산지 달천철장에서 펼처지는 철문화축제,울산광역시 북구청 문화체육과,울산광역시 북구청 문화체육과,,052-293-3500,http://www.soeburi.org/,,2022-09-02,6310000,울산광역시,20220902,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220902
KC488PO22N000014,행사,행사,울산조선해양축제,울산광역시,동구,3117010300,일산동,3117052000,일산동,3.12E+11,울산광역시 동구 해수욕장10길 7,44057,마마751239,129.4306152,35.49577039,울산광역시 동구 일산해수욕장 일원,2022-07-22,2022-07-24,울산동구의 대표 여름축제,울산광역시 동구청 해양관광정책실,울산광역시 동구청 해양관광정책실,,052-209-3362,http://www.ussf.co.kr,,2022-09-02,6310000,울산광역시,20220902,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220902
KC488PO22N000015,행사,행사,울산고래축제,울산광역시,남구,3114011900,매암동,3114067000,야음장생포동,3.11E+11,울산광역시 남구 장생포고래로 244,44780,마마705246,129.38079,35.5027537,장생포 고래문화특구 일원,2022-10-13,2022-10-16,"고래문화를 계승하고 보전하기 위해, 고래의 본고장 울산에서 열리는 힐링 페스티벌",울산광역시 남구청 관광과,울산광역시 남구청 관광과,,052-226-1999,http://www.ulsanwhale.com,,2022-09-02,6310000,울산광역시,20220902,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220902
KC488PO22N000016,행사,행사,궁거랑 벚꽃 한마당,울산광역시,남구,3114010100,무거동,3114058500,삼호동,3.11E+11,울산광역시 남구 삼호로 15,44635,마마600296,129.266004,35.5500212,남구 무거생태하천 일원(특설무대),2019-03-30,2019-03-31,울산광역시 남구 삼호동 무거생태하천에서 매년 3~4월에 개최하는 문화 행사,울산광역시 남구청 문화체육과,울산광역시 남구청 문화체육과,,052-226-5412,,,2022-09-02,6310000,울산광역시,20220902,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220902
KC488PO22N000017,행사,행사,울산마두희축제,울산광역시,중구,3111010600,성남동,3111058500,중앙동,3.11E+11,울산광역시 중구 새즈믄해거리 37,44529,마마649304,129.320056,35.5566794,중구 원도심 일원,2022-09-16,2022-09-18,"320년 역사의 울산 큰줄당기기, 마두희",울산광역시 중구청 문화관광과,울산광역시 중구청 문화관광과,,052-244-2008,http://www.ulsanmaduhee.co.kr,,2022-09-02,6310000,울산광역시,20220902,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220902
KC488PO22N000018,행사,행사,태화강국제재즈음악제,울산광역시,중구,3111011100,태화동,3111060000,태화동,,울산광역시 중구 태화강국가정원길 154,44457,마마623295,129.291263,35.548823,태화강 국가정원 야외공연장,2021-06-26,2021-06-27,태화강국가정원에서 즐기는 재즈 향연,울산광역시 중구청 문화관광과,울산광역시 중구청 문화관광과,,052-290-3663,,,2022-09-02,6310000,울산광역시,20220902,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220902
KC488PO22N000019,행사,행사,119안전문화축제,,,,,,,,,,마마640297,129.3101786,35.55011074,남구 태화강 둔치(태화로타리 앞) 일원,2021-10-21,2021-10-23,"보고, 듣고, 느끼는 오감만족형 안전체험의 장을 마련하여 안전문화의식을 확산하고자 개최하는 2021 울산119안전문화축제",울산광역시 소방본부 예방안전과,울산광역시 소방본부 예방안전과,,052-229-5331,http://fire.ulsan.go.kr/,,2022-09-02,6310000,울산광역시,20220902,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220902
KC488PO22N000020,행사,행사,태화강 국가정원 봄꽃축제,울산광역시,중구,3111011100,태화동,3111060000,태화동,,울산광역시 중구 태화강국가정원길 154,44457,마마623295,129.291263,35.548823,태화강 국가정원,2022-05-13,2022-05-15,6천만 송이 봄꽃 물결과 함께하는 태화강 국가정원 봄꽃 전시,울산광역시청 태화강국가정원과,울산광역시청 태화강국가정원과,,052-229-7561,https://www.ulsan.go.kr/s/garden/main.ulsan,,2022-09-02,6310000,울산광역시,20220902,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220902
KC488PO22N000021,행사,행사,14회 울산대공원 장미축제,울산광역시,남구,3114010200,옥동,3114060000,옥동,3.11E+11,울산광역시 남구 대공원로 94,44660,마마626275,129.2939195,35.53098415,울산대공원 장미원,2022-05-25,2022-05-29,"사랑 향기가 가득한 행복도시, 울산을 대표하는 울산대공원 장미축제",울산광역시청 녹지공원과,울산광역시청 녹지공원과,,052-229-3341,http://ulsanrosefestival.com,,2022-09-02,6310000,울산광역시,20220902,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220902
KC488PO22N000022,행사,행사,울산대공원 빛축제,울산광역시,남구,3114010200,옥동,3114060000,옥동,3.11E+11,울산광역시 남구 대공원로 94,44660,마마626275,129.2939195,35.53098415,울산대공원 정문 풍요의 못 일원,2021-12-17,2022-02-04,달빛 호수를 여행하다,울산시설공단,울산시설공단,,052-226-0305,https://www.uic.or.kr/ulsanpark/main/mainPage.do,,2022-09-02,6310000,울산광역시,20220902,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220902
KC488PO22N000023,행사,행사,태화강 대숲 납량축제,울산광역시,중구,3111011100,태화동,3111060000,태화동,,울산광역시 중구 태화강국가정원길 154,44457,마마623295,129.291263,35.548823,태화강 국가정원 야외공연장+대숲산책로 일원,2022-08-12,2022-08-15,태화강 대숲을 배경의 한 여름밤 납량축제,울산광역시청 문화예술과,울산광역시청 문화예술과,,052-226-7081,http://www.ulsantheatre.or.kr/,,2022-09-02,6310000,울산광역시,20220902,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220902
KC488PO22N000024,행사,행사,서머페스티벌,울산광역시,남구,3114010400,신정동,3114051000,신정1동,2.92E+11,울산광역시 남구 중앙로 201,44675,마마642283,129.3112566,35.53794728,비대면 온라인 공연,2022-08-05,2022-08-10,6개 테마별 국내 가수 초청 공연,울산광역시청 문화예술과,울산광역시청 문화예술과,,052-290-1236,https://www.usmbc.co.kr,,2022-09-02,6310000,울산광역시,20220902,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220902
KC488PO22N000025,행사,행사,처용문화제,울산광역시,중구,3111011100,태화동,3111060000,태화동,,울산광역시 중구 태화강국가정원길 154,44457,마마623295,129.291263,35.548823,태화강국가정원 남구둔치 일원,2022-10-08,2022-10-10,"처용 콘텐츠를 활용한 프로그램, 전시체험 등 행사",울산광역시청 문화예술과,울산광역시청 문화예술과,,052-259-7917,http://www.cheoyongf.or.kr,,2022-09-02,6310000,울산광역시,20220902,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220902
KC488PO22N000026,행사,행사,굿모닝양림,광주광역시,남구,2915511300,양림동,2915551000,양림동,2.92E+11,광주광역시 남구 백서로86,61662,다라467829,126.9157016,35.140085,광주광역시 남구 양림동66번지,2020-11-07,2020-11-28,"전시, 공연, 체험행사","남구 문화원, 굿모닝 양림행사추진위원회",광주광역시 남구,"문화체육관광부,광주광역시,광주디자인진흥원",062-671-7356,http://www.goodmorningyangrim.com,,2022-01-01,6290000,광주광역시,20220101,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220101
KC488PO22N000027,행사,행사,고싸움놀이축제,광주광역시,남구,2915512300,칠석동,2915573000,대촌동,2.92E+11,광주광역시 남구 고싸움로 2,61758,다라395751,126.8375167,35.069718,칠석동 고싸움놀이테마파크,2022-11-11,2022-11-13,고싸움놀이 시연+무형문화재 초청공연+민속놀이 체험,광주칠석고싸움놀이보존회,광주칠석고싸움놀이보존회,광주광역시+광주광역시 남구,062-607-2315,www.goodmorningyangrim.com,매년 정월대보름 개최,2022-08-30,3610000,광주광역시 남구,20220830,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220830
KC488PO22N000028,행사,행사,굿모닝양림축제,광주광역시,남구,2915511300,양림동,2915551000,양림동,2.92E+11,광주광역시 남구 백서로 92-8,61662,다라468829,126.9163647,35.14019141,양림동 일원,2022-10-12,2022-10-30,문화인물전시+공연+인문학 강의+체험행사,광주광역시남구문화원+굿모닝양림축제추진위원회,광주광역시 남구,광주광역시+광주광역시 남구,062-607-2312,www.gossaum.com,,2022-08-30,3610000,광주광역시 남구,20220830,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220830
KC488PO22N000029,행사,행사,노대 에코 페스티벌,광주광역시,남구,2915510700,노대동,2915571000,효덕동,2.92E+11,광주광역시 남구 노대실로41번길 31,61746,다라462791,126.9097968,35.1063753,분적산 및 노대호수공원,2022-09-24,2022-09-24,분적산그림대회+트레킹+공연+체험행사,광주광역시남구,광주광역시남구,,062-607-2312,,,2022-08-30,3610000,광주광역시 남구,20220830,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220830
KC488PO22N000030,행사,행사,대구약령시한방문화축제,대구광역시,중구,2711010100,동인동1가,2711051700,동인동,2.71E+11,대구광역시 중구 공평로 88(동인동1가),41911,라마994644,128.6012201,35.87155388,약령시장,2021-10-06,2021-10-10,고유제+개막식+체험프로그램 등,사단법인약령시보존위원회,대구광역시 의료산업기반과+대구광역시 중구 관광진흥과,,053-253-4729,http://www.daegu.go.kr/,,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000031,행사,행사,대구컬러풀페스티벌,대구광역시,중구,2711010100,동인동1가,2711051700,동인동,2.71E+11,대구광역시 중구 공평로 88(동인동1가),41911,라마994644,128.6012201,35.87155388,국채보상로,2021-10-22,2021-10-24,퍼레이드+축하공연+부대행사 등,재단법인대구문화재단,대구광역시 문화콘텐츠과,,053-430-1261,http://www.daegu.go.kr/,개최취소,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000032,행사,행사,대구국제뮤지컬페스티벌,대구광역시,중구,2711010100,동인동1가,2711051700,동인동,2.71E+11,대구광역시 중구 공평로 88(동인동1가),41911,라마994644,128.6012201,35.87155388,공연장,2021-06-18,2021-07-05,국내외 우수작품 공연+딤프어워즈+딤프린지 등,사단법인DIMF,대구광역시 문화콘텐츠과,,053-622-1945,http://www.daegu.go.kr/,,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000033,행사,행사,대구치맥페스티벌,대구광역시,중구,2711010100,동인동1가,2711051700,동인동,2.71E+11,대구광역시 중구 공평로 88(동인동1가),41911,라마994644,128.6012201,35.87155388,두류공원,2021-10-01,2021-11-30,치맥 테마 식음+체험+공연+참여프로그램 운영 등,대구치맥페스티벌 조직위원회,사단법인한국치맥산업협회,,053-248-9998,http://www.daegu.go.kr/,개최취소,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000034,행사,행사,디지털패션문화페스티벌,대구광역시,중구,2711010100,동인동1가,2711051700,동인동,2.71E+11,대구광역시 중구 공평로 88(동인동1가),41911,라마994644,128.6012201,35.87155388,공원,2021-12-06,2021-12-12,디지털 패션쇼+패션아트 전시 및 공연+이커머스 라이브 마켓 등,한국패션산업연구원,대구광역시 섬유패션과,,053-721-7434,http://www.daegu.go.kr/,,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000035,행사,행사,대구포크페스티벌,대구광역시,중구,2711010100,동인동1가,2711051700,동인동,2.71E+11,대구광역시 중구 공평로 88(동인동1가),41911,라마994644,128.6012201,35.87155388,공원,2021-11-20,2021-11-20,포크송 및 버스킹 공연+언택트 공연 100인 랜선 합창 등,사단법인대구포크페스티벌,대구광역시 문화예술정책과,,053-626-2015,http://www.daegu.go.kr/,,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000036,행사,행사,대구국제오페라축제,대구광역시,중구,2711010100,동인동1가,2711051700,동인동,2.71E+11,대구광역시 중구 공평로 88(동인동1가),41911,라마994644,128.6012201,35.87155388,공연장,2021-09-09,2021-11-07,초청 오페라 공연+국제오페라오디션 등,재단법인대구오페라하우스,대구광역시 문화콘텐츠과,,053-803-3792,http://www.daegu.go.kr/,,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000037,행사,행사,대구글로벌게임문화축제 e-fun,대구광역시,중구,2711010100,동인동1가,2711051700,동인동,2.71E+11,대구광역시 중구 공평로 88(동인동1가),41911,라마994644,128.6012201,35.87155388,동성로,2021-11-27,2021-11-28,게임영상콘서트+e스포츠대회+코스프레대회+게임체험존 운영,재단법인대구디지털산업진흥원,대구광역시 문화콘텐츠과,,053-803-3801,http://www.daegu.go.kr/,,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000038,행사,행사,생명사랑환경축제-맹꽁이야 놀자,대구광역시,중구,2711010100,동인동1가,2711051700,동인동,2.71E+11,대구광역시 중구 공평로 88(동인동1가),41911,라마994644,128.6012201,35.87155388,달성습지,2021-09-11,2021-09-12,생태교육 및 참여 프로그램 운영+달성습지 홍보 등,사단법인대구경북늘푸른자원봉사단,대구광역시 환경정책과,,053-803-4215,http://www.daegu.go.kr/,,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000039,행사,행사,대구국제재즈축제,대구광역시,중구,2711010100,동인동1가,2711051700,동인동,2.71E+11,대구광역시 중구 공평로 88(동인동1가),41911,라마994644,128.6012201,35.87155388,공원,2021-10-06,2021-10-11,재즈뮤지션 초청공연+프린지 공연+대구국제실용음악콩쿠르 개최,대구국제재즈축제조직위원회,대구광역시 문화예술정책과,,053-1544-1850,http://www.daegu.go.kr/,,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000040,행사,행사,팔공산 산중장터 승시,대구광역시,중구,2711010100,동인동1가,2711051700,동인동,2.71E+11,대구광역시 중구 공평로 88(동인동1가),41911,라마994644,128.6012201,35.87155388,동화사,2021-10-01,2021-10-31,산중장터 승시 재현+승시음악회+불교용품 전시+체험관 운영 등,팔공산승시축제봉행위원회,팔공총림동화사,,053-980-7956,http://www.daegu.go.kr/,개최취소,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000041,행사,행사,대구생활문화제,대구광역시,중구,2711010100,동인동1가,2711051700,동인동,2.71E+11,대구광역시 중구 공평로 88(동인동1가),41911,라마994644,128.6012201,35.87155388,동성로,2021-11-19,2021-11-21,예술동호회 공연 및 전시+체험존 운영,대구문화재단,대구광역시 문화예술정책과,,053-803-3631,http://www.daegu.go.kr/,,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000042,행사,행사,대봉웨딩거리축제,대구광역시,중구,2711010200,동인동2가,2711051700,동인동,2.71E+11,대구광역시 중구 국채보상로139길 1(동인동2가),41908,라마998642,128.6061572,35.86932522,대봉웨딩거리,2021-10-21,2021-10-22,웨딩 관련 상품체험+길거리 공연 등,대봉동 웨딩거리 상점가 상인회,대봉동 웨딩거리 상점가 상인회,,053-661-2645,http://www.jung.daegu.kr/,,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000043,행사,행사,동성로축제,대구광역시,중구,2711010200,동인동2가,2711051700,동인동,2.71E+11,대구광역시 중구 국채보상로139길 1(동인동2가),41908,라마998642,128.6061572,35.86932522,동성로,2021-10-15,2021-10-17,동성로 가요제+댄스+먹방대회+패션쇼 등,동성로상점가상인회,사단법인달성문화선양회,,053-423-3337,http://www.jung.daegu.kr/,,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000044,행사,행사,대구패션주얼리위크,대구광역시,중구,2711010200,동인동2가,2711051700,동인동,2.71E+11,대구광역시 중구 국채보상로139길 1(동인동2가),41908,라마998642,128.6061572,35.86932522,교동,2021-11-05,2021-11-06,주얼리패션쇼+주얼리 경매+주얼리 모델대회 등,대구패션주얼리특구상인회,대구패션주얼리특구상인회,,053-424-9150,http://www.jung.daegu.kr/,,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000045,행사,행사,대구스트리트모터페스티벌,대구광역시,중구,2711010200,동인동2가,2711051700,동인동,2.71E+11,대구광역시 중구 국채보상로139길 1(동인동2가),41908,라마998642,128.6061572,35.86932522,남산동 자동차골목,2021-09-01,2021-12-31,차량 전시+축하공연+부대행사 등,남산동DSMF조직위원회,남산동자동차골목상점가상인회,,053-661-3014,http://www.jung.daegu.kr/,개최취소,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000046,행사,행사,대구문화재야행,대구광역시,중구,2711010200,동인동2가,2711051700,동인동,2.71E+11,대구광역시 중구 국채보상로139길 1(동인동2가),41908,라마998642,128.6061572,35.86932522,대구근대골목,2021-10-15,2021-10-16,근대 관련 문화공연+전시+체험+청사초롱 야경투어 및 테마투어 등,대구광역시 중구 관광진흥과,대구광역시 중구 관광진흥과,,053-661-2195,http://www.jung.daegu.kr/,,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000047,행사,행사,김광석 나의노래 다시부르기,대구광역시,중구,2711010200,동인동2가,2711051700,동인동,2.71E+11,대구광역시 중구 국채보상로139길 1(동인동2가),41908,라마998642,128.6061572,35.86932522,"김광석길, 신천둔치",2021-10-02,2021-10-02,김광석 노래경연+김광석 추모사진 전시 등,주식회사 대구문화방송,대구광역시 중구 문화교육과,,053-661-2174,http://www.jung.daegu.kr/,,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000048,행사,행사,김광석길 페스티벌,대구광역시,중구,2711010200,동인동2가,2711051700,동인동,2.71E+11,대구광역시 중구 국채보상로139길 1(동인동2가),41908,라마998642,128.6061572,35.86932522,김광석길,2021-10-09,2021-10-10,김광석길 문화예술 공연+버스킹+전시 등,방천문화예술협회,방천문화예술협회,,053-661-2174,http://www.jung.daegu.kr/,,2022-06-15,6270000,대구광역시,20220615,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220615
KC488PO22N000049,행사,행사,제4회 블랙뮤직페스티벌,경기도,의정부시,4115010100,의정부동,4115052000,의정부2동,4.12E+11,경기도 의정부시 의정로 1,11622,다사589705,127.034128,37.733386,의정부시청앞 잔디광장 외,2022-10-08,2022-10-22,힙합장르를 중심으로 하는 의정부 대표 뮤직 페스티벌,의정부문화재단,의정부문화재단,,031-850-5145,,,2022-08-26,3820000,경기도 의정부시,20220826,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220826
KC488PO22N000050,행사,행사,제10회 의정부국제가야금축제,경기도,의정부시,4115010100,의정부동,4115052000,의정부2동,4.12E+11,경기도 의정부시 의정로 1,11622,다사589705,127.034128,37.733386,의정부예술의전당,2022-09-23,2022-09-24,가야금문화 전승 및 경연대회,(사)죽파류 가야금산조보존회,의정부문화재단,,031-850-5142,,,2022-08-26,3820000,경기도 의정부시,20220826,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220826
KC488PO22N000051,행사,행사,<도서관 속 작업실 II>展,경기도,의정부시,4115010600,민락동,4115057800,송산3동,4.12E+11,경기도 의정부시 민락로 248,11814,다사653717,127.106129,37.745147,의정부미술도서관,2022-07-27,2022-09-28,오픈스튜디오 3기+4기 작가 결과보고 전시,의정부미술도서관,의정부미술도서관,,031-828-8870,,,2022-08-26,3820000,경기도 의정부시,20220826,문화체육관광부,KC_488_WNTY_CLTFSTVL_2022,20220826
